"ID","IDDIST","NOMBDEP","NOMBPROV","NOMBDIST","NOM_CAPITAL_LEGAL","COD_REG_NAT","REGION_NATURAL"
"1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",NULL,NULL,NULL
"2","010102","AMAZONAS","CHACHAPOYAS","ASUNCION",NULL,NULL,NULL
"3","010103","AMAZONAS","CHACHAPOYAS","BALSAS",NULL,NULL,NULL
"4","010104","AMAZONAS","CHACHAPOYAS","CHETO",NULL,NULL,NULL
"5","010105","AMAZONAS","CHACHAPOYAS","CHILIQUIN",NULL,NULL,NULL
"6","010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",NULL,NULL,NULL
"7","010107","AMAZONAS","CHACHAPOYAS","GRANADA",NULL,NULL,NULL
"8","010108","AMAZONAS","CHACHAPOYAS","HUANCAS",NULL,NULL,NULL
"9","010109","AMAZONAS","CHACHAPOYAS","LA JALCA",NULL,NULL,NULL
"10","010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",NULL,NULL,NULL
"11","010111","AMAZONAS","CHACHAPOYAS","LEVANTO",NULL,NULL,NULL
"12","010112","AMAZONAS","CHACHAPOYAS","MAGDALENA",NULL,NULL,NULL
"13","010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",NULL,NULL,NULL
"14","010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",NULL,NULL,NULL
"15","010115","AMAZONAS","CHACHAPOYAS","MONTEVIDEO",NULL,NULL,NULL
"16","010116","AMAZONAS","CHACHAPOYAS","OLLEROS",NULL,NULL,NULL
"17","010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",NULL,NULL,NULL
"18","010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",NULL,NULL,NULL
"19","010119","AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO",NULL,NULL,NULL
"20","010120","AMAZONAS","CHACHAPOYAS","SOLOCO",NULL,NULL,NULL
"21","010121","AMAZONAS","CHACHAPOYAS","SONCHE",NULL,NULL,NULL
"22","010201","AMAZONAS","BAGUA","BAGUA",NULL,NULL,NULL
"23","010202","AMAZONAS","BAGUA","ARAMANGO",NULL,NULL,NULL
"24","010203","AMAZONAS","BAGUA","COPALLIN",NULL,NULL,NULL
"25","010204","AMAZONAS","BAGUA","EL PARCO",NULL,NULL,NULL
"26","010205","AMAZONAS","BAGUA","IMAZA",NULL,NULL,NULL
"27","010206","AMAZONAS","BAGUA","LA PECA",NULL,NULL,NULL
"28","010301","AMAZONAS","BONGARA","JUMBILLA",NULL,NULL,NULL
"29","010302","AMAZONAS","BONGARA","CHISQUILLA",NULL,NULL,NULL
"30","010303","AMAZONAS","BONGARA","CHURUJA",NULL,NULL,NULL
"31","010304","AMAZONAS","BONGARA","COROSHA",NULL,NULL,NULL
"32","010305","AMAZONAS","BONGARA","CUISPES",NULL,NULL,NULL
"33","010306","AMAZONAS","BONGARA","FLORIDA",NULL,NULL,NULL
"34","010307","AMAZONAS","BONGARA","JAZAN",NULL,NULL,NULL
"35","010308","AMAZONAS","BONGARA","RECTA",NULL,NULL,NULL
"36","010309","AMAZONAS","BONGARA","SAN CARLOS",NULL,NULL,NULL
"37","010310","AMAZONAS","BONGARA","SHIPASBAMBA",NULL,NULL,NULL
"38","010311","AMAZONAS","BONGARA","VALERA",NULL,NULL,NULL
"39","010312","AMAZONAS","BONGARA","YAMBRASBAMBA",NULL,NULL,NULL
"40","010401","AMAZONAS","CONDORCANQUI","NIEVA",NULL,NULL,NULL
"41","010402","AMAZONAS","CONDORCANQUI","EL CENEPA",NULL,NULL,NULL
"42","010403","AMAZONAS","CONDORCANQUI","RIO SANTIAGO",NULL,NULL,NULL
"43","010501","AMAZONAS","LUYA","LAMUD",NULL,NULL,NULL
"44","010502","AMAZONAS","LUYA","CAMPORREDONDO",NULL,NULL,NULL
"45","010503","AMAZONAS","LUYA","COCABAMBA",NULL,NULL,NULL
"46","010504","AMAZONAS","LUYA","COLCAMAR",NULL,NULL,NULL
"47","010505","AMAZONAS","LUYA","CONILA",NULL,NULL,NULL
"48","010506","AMAZONAS","LUYA","INGUILPATA",NULL,NULL,NULL
"49","010507","AMAZONAS","LUYA","LONGUITA",NULL,NULL,NULL
"50","010508","AMAZONAS","LUYA","LONYA CHICO",NULL,NULL,NULL
"51","010509","AMAZONAS","LUYA","LUYA",NULL,NULL,NULL
"52","010510","AMAZONAS","LUYA","LUYA VIEJO",NULL,NULL,NULL
"53","010511","AMAZONAS","LUYA","MARIA",NULL,NULL,NULL
"54","010512","AMAZONAS","LUYA","OCALLI",NULL,NULL,NULL
"55","010513","AMAZONAS","LUYA","OCUMAL",NULL,NULL,NULL
"56","010514","AMAZONAS","LUYA","PISUQUIA",NULL,NULL,NULL
"57","010515","AMAZONAS","LUYA","PROVIDENCIA",NULL,NULL,NULL
"58","010516","AMAZONAS","LUYA","SAN CRISTOBAL",NULL,NULL,NULL
"59","010517","AMAZONAS","LUYA","SAN FRANCISCO DEL YESO",NULL,NULL,NULL
"60","010518","AMAZONAS","LUYA","SAN JERONIMO",NULL,NULL,NULL
"61","010519","AMAZONAS","LUYA","SAN JUAN DE LOPECANCHA",NULL,NULL,NULL
"62","010520","AMAZONAS","LUYA","SANTA CATALINA",NULL,NULL,NULL
"63","010521","AMAZONAS","LUYA","SANTO TOMAS",NULL,NULL,NULL
"64","010522","AMAZONAS","LUYA","TINGO",NULL,NULL,NULL
"65","010523","AMAZONAS","LUYA","TRITA",NULL,NULL,NULL
"66","010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",NULL,NULL,NULL
"67","010602","AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO",NULL,NULL,NULL
"68","010603","AMAZONAS","RODRIGUEZ DE MENDOZA","COCHAMAL",NULL,NULL,NULL
"69","010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",NULL,NULL,NULL
"70","010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",NULL,NULL,NULL
"71","010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",NULL,NULL,NULL
"72","010607","AMAZONAS","RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES",NULL,NULL,NULL
"73","010608","AMAZONAS","RODRIGUEZ DE MENDOZA","MILPUC",NULL,NULL,NULL
"74","010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",NULL,NULL,NULL
"75","010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",NULL,NULL,NULL
"76","010611","AMAZONAS","RODRIGUEZ DE MENDOZA","TOTORA",NULL,NULL,NULL
"77","010612","AMAZONAS","RODRIGUEZ DE MENDOZA","VISTA ALEGRE",NULL,NULL,NULL
"78","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",NULL,NULL,NULL
"79","010702","AMAZONAS","UTCUBAMBA","CAJARURO",NULL,NULL,NULL
"80","010703","AMAZONAS","UTCUBAMBA","CUMBA",NULL,NULL,NULL
"81","010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",NULL,NULL,NULL
"82","010705","AMAZONAS","UTCUBAMBA","JAMALCA",NULL,NULL,NULL
"83","010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",NULL,NULL,NULL
"84","010707","AMAZONAS","UTCUBAMBA","YAMON",NULL,NULL,NULL
"85","020101","ANCASH","HUARAZ","HUARAZ",NULL,NULL,NULL
"86","020102","ANCASH","HUARAZ","COCHABAMBA",NULL,NULL,NULL
"87","020103","ANCASH","HUARAZ","COLCABAMBA",NULL,NULL,NULL
"88","020104","ANCASH","HUARAZ","HUANCHAY",NULL,NULL,NULL
"89","020105","ANCASH","HUARAZ","INDEPENDENCIA",NULL,NULL,NULL
"90","020106","ANCASH","HUARAZ","JANGAS",NULL,NULL,NULL
"91","020107","ANCASH","HUARAZ","LA LIBERTAD",NULL,NULL,NULL
